(-10.0, 100.0)
(-9.8, 96.0)
(-9.6, 92.2)
(-9.4, 88.4)
(-9.2, 84.6)
(-9.0, 81.0)
(-8.8, 77.4)
(-8.6, 74.0)
(-8.4, 70.6)
(-8.2, 67.2)
(-8.0, 64.0)
(-7.8, 60.8)
(-7.6, 57.8)
(-7.4, 54.8)
(-7.2, 51.8)
(-7.0, 49.0)
(-6.8, 46.2)
(-6.6, 43.6)
(-6.4, 41.0)
(-6.2, 38.4)
(-6.0, 36.0)
(-5.8, 33.6)
(-5.6, 31.4)
(-5.4, 29.2)
(-5.2, 27.0)
(-5.0, 25.0)
(-4.8, 23.0)
(-4.6, 21.2)
(-4.4, 19.4)
(-4.2, 17.6)
(-4.0, 16.0)
(-3.8, 14.4)
(-3.6, 13.0)
(-3.4, 11.6)
(-3.2, 10.2)
(-3.0, 9.0)
(-2.8, 7.8)
(-2.6, 6.8)
(-2.4, 5.8)
(-2.2, 4.8)
(-2.0, 4.0)
(-1.8, 3.2)
(-1.6, 2.6)
(-1.4, 2.0)
(-1.2, 1.4)
(-1.0, 1.0)
(-0.8, 0.6)
(-0.6, 0.4)
(-0.4, 0.2)
(-0.2, 0.0)
(0.0, 0.0)
(0.2, 0.0)
(0.4, 0.2)
(0.6, 0.4)
(0.8, 0.6)
(1.0, 1.0)
(1.2, 1.4)
(1.4, 2.0)
(1.6, 2.6)
(1.8, 3.2)
(2.0, 4.0)
(2.2, 4.8)
(2.4, 5.8)
(2.6, 6.8)
(2.8, 7.8)
(3.0, 9.0)
(3.2, 10.2)
(3.4, 11.6)
(3.6, 13.0)
(3.8, 14.4)
(4.0, 16.0)
(4.2, 17.6)
(4.4, 19.4)
(4.6, 21.2)
(4.8, 23.0)
(5.0, 25.0)
(5.2, 27.0)
(5.4, 29.2)
(5.6, 31.4)
(5.8, 33.6)
(6.0, 36.0)
(6.2, 38.4)
(6.4, 41.0)
(6.6, 43.6)
(6.8, 46.2)
(7.0, 49.0)
(7.2, 51.8)
(7.4, 54.8)
(7.6, 57.8)
(7.8, 60.8)
(8.0, 64.0)
(8.2, 67.2)
(8.4, 70.6)
(8.6, 74.0)
(8.8, 77.4)
(9.0, 81.0)
(9.2, 84.6)
(9.4, 88.4)
(9.6, 92.2)
(9.8, 96.0)
